application_id,submission_date,institution_type,status,processing_time,document_compliance_score,evaluator_expertise,infrastructure_score
1,2024-05-20 16:41:43.519536,Pharmacy,Rejected,65,0.6344233712264217,Industry,0.9375020175949175
2,2023-09-17 16:41:43.519585,Pharmacy,Submitted,57,0.8142170237094994,Academic,0.7299691177626565
3,2023-12-04 16:41:43.519588,Engineering,Submitted,93,0.7409337396373084,Administration,0.874918225033007
4,2024-05-16 16:41:43.519590,Management,Submitted,99,0.6808551274297903,Administration,0.9846463228184663
5,2024-06-20 16:41:43.519592,Management,Submitted,40,0.9746043134352561,Research,0.8920973337431473
6,2024-02-24 16:41:43.519594,Applied Arts and Crafts,Under Evaluation,14,0.8160797495932287,Academic,0.7959481906870978
7,2024-08-10 16:41:43.519596,Management,Approved,35,0.5649706861339706,Industry,0.8522869777967716
8,2024-05-20 16:41:43.519598,Architecture,Document Verification,48,0.7800458487216977,Industry,0.8958731591052432
9,2024-05-01 16:41:43.519601,Management,Under Evaluation,84,0.8903659266004504,Industry,0.8449103062775489
10,2024-01-29 16:41:43.519603,Applied Arts and Crafts,Under Evaluation,56,0.8542448487463987,Academic,0.6066703253959357
11,2023-10-05 16:41:43.519604,Management,Document Verification,49,0.5860446146476297,Industry,0.6779093990748903
12,2024-06-04 16:41:43.519606,Architecture,Document Verification,13,0.9862099995200517,Industry,0.9241872868861865
13,2024-05-23 16:41:43.519608,Engineering,Submitted,61,0.7244068228733029,Industry,0.7090602589249938
14,2023-09-06 16:41:43.519610,Applied Arts and Crafts,Under Evaluation,49,0.5795125018701306,Research,0.8926248478244536
15,2024-04-01 16:41:43.519611,Engineering,Rejected,46,0.5900978770640739,Research,0.7488480860966794
16,2024-04-22 16:41:43.519613,Engineering,Document Verification,62,0.5491174960945402,Academic,0.8087537312631773
17,2024-04-03 16:41:43.519615,Engineering,Document Verification,8,0.9017590542174672,Academic,0.6271893199277615
18,2023-10-27 16:41:43.519617,Pharmacy,Approved,43,0.5610152471609243,Industry,0.6724902244198838
19,2023-12-17 16:41:43.519618,Pharmacy,Rejected,20,0.5625626285708735,Research,0.9828787854076938
20,2023-09-22 16:41:43.519620,Engineering,Rejected,97,0.9252358073804188,Administration,0.9560552213787656
21,2023-11-11 16:41:43.519622,Applied Arts and Crafts,Document Verification,90,0.6723020422237798,Administration,0.86091004435962
22,2024-02-21 16:41:43.519623,Architecture,Submitted,39,0.5154289521540363,Industry,0.783857838954295
23,2023-11-28 16:41:43.519625,Architecture,Approved,85,0.5259476497592055,Industry,0.8703045171580895
24,2024-03-23 16:41:43.519627,Management,Rejected,49,0.5710852233519478,Research,0.8474441156375756
25,2023-10-22 16:41:43.519629,Applied Arts and Crafts,Document Verification,64,0.6066966739878448,Research,0.8274209022418448
26,2024-08-09 16:41:43.519630,Pharmacy,Rejected,62,0.8325730971192027,Research,0.6236708287454167
27,2023-12-22 16:41:43.519632,Engineering,Approved,54,0.5786631400009141,Academic,0.8531210442646028
28,2024-01-08 16:41:43.519634,Management,Approved,9,0.559437195588536,Academic,0.9075680178284673
29,2023-09-21 16:41:43.519635,Architecture,Under Evaluation,88,0.8823595707381395,Industry,0.9976326618582302
30,2024-07-13 16:41:43.519637,Pharmacy,Document Verification,37,0.8355276419299572,Academic,0.6044314210377238
31,2024-07-03 16:41:43.519639,Pharmacy,Approved,49,0.7176621107276181,Research,0.8920693813242706
32,2024-03-14 16:41:43.519640,Engineering,Under Evaluation,41,0.7746548857400519,Research,0.8287157263743922
33,2024-02-25 16:41:43.519642,Architecture,Under Evaluation,17,0.6559920101632093,Academic,0.7736208704323827
34,2023-12-04 16:41:43.519644,Applied Arts and Crafts,Rejected,88,0.7412502101176803,Administration,0.6510280698285483
35,2024-02-23 16:41:43.519646,Pharmacy,Rejected,21,0.7533363244913729,Industry,0.7636340594539505
36,2024-03-09 16:41:43.519647,Engineering,Under Evaluation,51,0.6936186355890479,Administration,0.7417508731944541
37,2024-07-11 16:41:43.519649,Applied Arts and Crafts,Rejected,59,0.9532861053360814,Industry,0.7211319555914969
38,2023-09-02 16:41:43.519651,Architecture,Approved,39,0.508030932490503,Administration,0.8923518493288831
39,2024-07-07 16:41:43.519652,Pharmacy,Submitted,55,0.891085631545623,Academic,0.8802902085137055
40,2023-12-31 16:41:43.519654,Applied Arts and Crafts,Approved,41,0.5621914156206622,Industry,0.8356080363923646
41,2023-10-16 16:41:43.519656,Applied Arts and Crafts,Under Evaluation,39,0.8987736802685997,Industry,0.9754659253173489
42,2024-04-22 16:41:43.519658,Applied Arts and Crafts,Under Evaluation,13,0.8079559578383606,Industry,0.7399417536723417
43,2023-10-29 16:41:43.519659,Pharmacy,Approved,64,0.9216390454682012,Research,0.6975207750840718
44,2024-04-18 16:41:43.519661,Pharmacy,Rejected,11,0.5487571628204487,Research,0.8623613252393598
45,2024-08-10 16:41:43.519663,Management,Rejected,19,0.779490317049887,Administration,0.6795256243749611
46,2023-10-07 16:41:43.519664,Architecture,Under Evaluation,11,0.7505439401310985,Academic,0.7260042028733699
47,2024-03-17 16:41:43.519666,Engineering,Document Verification,77,0.8530965914816793,Research,0.6898409760299539
48,2023-12-01 16:41:43.519667,Applied Arts and Crafts,Rejected,46,0.7671452759468379,Industry,0.6276614270874005
49,2024-06-03 16:41:43.519669,Management,Approved,45,0.770367283566552,Research,0.9309994966542694
50,2023-10-20 16:41:43.519671,Engineering,Rejected,1,0.7147979717880324,Academic,0.7018162171686645
51,2024-08-17 16:41:43.519672,Management,Approved,40,0.6544172120036704,Research,0.7892110013372082
52,2024-01-02 16:41:43.519674,Pharmacy,Under Evaluation,19,0.7411321806260961,Industry,0.6173261093017247
53,2023-12-10 16:41:43.519676,Applied Arts and Crafts,Rejected,76,0.5592461793842003,Administration,0.8797357865010572
54,2023-09-20 16:41:43.519678,Engineering,Approved,72,0.9807566694915424,Industry,0.7322244009225163
55,2024-07-09 16:41:43.519679,Engineering,Under Evaluation,72,0.8572053818132992,Academic,0.897894691131684
56,2023-09-26 16:41:43.519681,Engineering,Document Verification,61,0.9762335583439234,Administration,0.7649612241871464
57,2024-05-31 16:41:43.519683,Engineering,Approved,12,0.6133636911649816,Research,0.6783022425622498
58,2023-12-11 16:41:43.519684,Engineering,Document Verification,61,0.9396705100882641,Research,0.8052700329128144
59,2024-07-27 16:41:43.519686,Management,Document Verification,33,0.9043949922817692,Research,0.6522018238549759
60,2024-02-07 16:41:43.519688,Applied Arts and Crafts,Submitted,45,0.8385762062288369,Administration,0.7762156639491978
61,2024-06-11 16:41:43.519689,Pharmacy,Rejected,90,0.8125145930426029,Industry,0.7269221909681945
62,2024-07-12 16:41:43.519691,Pharmacy,Approved,92,0.6582748326339349,Administration,0.9647838336798533
63,2023-09-06 16:41:43.519692,Pharmacy,Document Verification,69,0.9082053924825153,Administration,0.624371488688288
64,2024-08-29 16:41:43.519694,Pharmacy,Submitted,8,0.750757730739867,Academic,0.8776069656422968
65,2024-07-08 16:41:43.519696,Management,Under Evaluation,25,0.5354457879456427,Administration,0.6731004663949743
66,2024-05-17 16:41:43.519698,Architecture,Approved,91,0.656431580427565,Research,0.7276180297328959
67,2023-12-15 16:41:43.519699,Applied Arts and Crafts,Document Verification,46,0.9676485492726639,Industry,0.7662056252248264
68,2023-10-26 16:41:43.519701,Engineering,Rejected,87,0.9253401303024231,Industry,0.9632060357499896
69,2024-02-22 16:41:43.519702,Architecture,Submitted,30,0.9909528490382695,Industry,0.69703130642953
70,2024-01-26 16:41:43.519704,Pharmacy,Document Verification,47,0.8139966913020491,Research,0.636523521017868
71,2024-07-18 16:41:43.519706,Architecture,Rejected,87,0.623755036570206,Research,0.7274758415962094
72,2024-03-22 16:41:43.519707,Applied Arts and Crafts,Document Verification,49,0.5814075248384318,Research,0.6418703882142133
73,2024-02-11 16:41:43.519709,Engineering,Approved,47,0.5934572203042308,Research,0.651438594384221
74,2023-12-05 16:41:43.519710,Engineering,Approved,84,0.5098978291736271,Research,0.8295402391900106
75,2023-09-15 16:41:43.519712,Applied Arts and Crafts,Approved,82,0.6953410554929695,Administration,0.6243607732397973
76,2023-11-01 16:41:43.519713,Applied Arts and Crafts,Submitted,18,0.5957138402497713,Research,0.6123723525574264
77,2023-12-04 16:41:43.519715,Pharmacy,Approved,66,0.7058277302283512,Research,0.8857656405881991
78,2024-01-29 16:41:43.519717,Engineering,Rejected,68,0.9674972159193826,Research,0.7446588379364177
79,2023-12-23 16:41:43.519719,Architecture,Document Verification,94,0.715270104753595,Research,0.6501501396935493
80,2024-02-23 16:41:43.519721,Management,Under Evaluation,33,0.9389922484924174,Industry,0.7014451083438833
81,2023-11-09 16:41:43.519727,Management,Rejected,36,0.8027523833079382,Research,0.8568346029409596
82,2024-01-31 16:41:43.519729,Applied Arts and Crafts,Rejected,82,0.623565777330696,Administration,0.7102146268563404
83,2024-02-05 16:41:43.519730,Pharmacy,Approved,19,0.6779273796296057,Administration,0.7978084500481631
84,2024-01-07 16:41:43.519732,Management,Submitted,28,0.5419597679107147,Administration,0.6486781226906689
85,2023-09-28 16:41:43.519734,Engineering,Document Verification,40,0.6667312967980052,Academic,0.8352374550421788
86,2024-07-09 16:41:43.519735,Applied Arts and Crafts,Submitted,84,0.8387704727517671,Industry,0.7264310735373056
87,2023-11-25 16:41:43.519737,Architecture,Document Verification,97,0.5360555464647176,Research,0.8507873738114866
88,2024-01-27 16:41:43.519738,Applied Arts and Crafts,Document Verification,76,0.6027007042390147,Academic,0.9233579529216092
89,2023-12-23 16:41:43.519740,Architecture,Submitted,15,0.6907205207066558,Research,0.844658567755997
90,2024-02-25 16:41:43.519742,Applied Arts and Crafts,Rejected,41,0.9910247685079813,Academic,0.7182990250380082
91,2024-07-21 16:41:43.519743,Applied Arts and Crafts,Document Verification,39,0.8924309114794401,Academic,0.7022974806193202
92,2024-03-27 16:41:43.519745,Applied Arts and Crafts,Submitted,2,0.8667433732460519,Administration,0.7309683834933792
93,2024-08-16 16:41:43.519746,Architecture,Document Verification,63,0.558095478262723,Administration,0.6658482052946019
94,2023-11-04 16:41:43.519748,Architecture,Under Evaluation,29,0.8904979468074957,Academic,0.672468740340008
95,2024-06-27 16:41:43.519750,Applied Arts and Crafts,Rejected,74,0.8926344057580076,Administration,0.9162764407600672
96,2023-09-21 16:41:43.519751,Management,Approved,66,0.8005513478121642,Academic,0.753893030602978
97,2023-10-09 16:41:43.519753,Pharmacy,Document Verification,51,0.9951808909991859,Industry,0.7743980722282343
98,2024-08-22 16:41:43.519755,Pharmacy,Under Evaluation,75,0.6626269529622759,Administration,0.8376197862267245
99,2023-09-22 16:41:43.519756,Pharmacy,Approved,77,0.9706362241209259,Administration,0.8358613980606191
100,2024-04-24 16:41:43.519758,Architecture,Approved,10,0.9573655574782518,Administration,0.6269507486087703
101,2024-04-17 16:41:43.519759,Architecture,Document Verification,14,0.505740329874689,Industry,0.9326163145350662
102,2024-06-29 16:41:43.519761,Management,Submitted,82,0.7250582632374055,Academic,0.6709306212895757
103,2024-04-14 16:41:43.519763,Pharmacy,Document Verification,51,0.9885521165257867,Research,0.8892286544198675
104,2024-06-11 16:41:43.519764,Pharmacy,Under Evaluation,73,0.5515606812040379,Administration,0.9090683952512666
105,2024-03-21 16:41:43.519766,Applied Arts and Crafts,Approved,39,0.7738923471916597,Academic,0.8859598136365254
106,2023-11-16 16:41:43.519767,Architecture,Document Verification,28,0.989478753520552,Industry,0.831591058621658
107,2023-12-14 16:41:43.519769,Pharmacy,Submitted,3,0.7777477120529301,Research,0.6058435988435531
108,2024-01-13 16:41:43.519771,Management,Document Verification,84,0.594907651486078,Administration,0.7441501969452683
109,2024-07-21 16:41:43.519772,Management,Rejected,70,0.7910916150462949,Industry,0.8419357717450324
110,2024-08-03 16:41:43.519774,Pharmacy,Submitted,27,0.6022202869747735,Industry,0.7549805183690155
111,2024-04-18 16:41:43.519776,Architecture,Under Evaluation,2,0.7598521314472422,Research,0.9453919579651252
112,2024-02-12 16:41:43.519777,Management,Approved,93,0.537021108956174,Academic,0.7235209101398461
113,2023-10-08 16:41:43.519779,Applied Arts and Crafts,Document Verification,38,0.8027413346072023,Administration,0.7174139169834641
114,2023-12-07 16:41:43.519780,Management,Submitted,3,0.758394969564079,Administration,0.7063990772370632
115,2024-07-29 16:41:43.519782,Engineering,Rejected,16,0.8700806843807316,Academic,0.7331123475843182
116,2024-07-14 16:41:43.519784,Engineering,Submitted,94,0.8153502355793925,Academic,0.8229619857256749
117,2024-06-30 16:41:43.519785,Architecture,Rejected,40,0.7748031342653783,Academic,0.8828061177090363
118,2024-01-28 16:41:43.519787,Pharmacy,Under Evaluation,2,0.8448894246240606,Research,0.8650271670955141
119,2023-11-12 16:41:43.519788,Architecture,Approved,81,0.5719709567861154,Research,0.9230871279925918
120,2024-05-24 16:41:43.519790,Architecture,Under Evaluation,41,0.797679830629302,Administration,0.9543655981989699
121,2024-03-12 16:41:43.519791,Architecture,Document Verification,12,0.5860553014113888,Research,0.9264316169373406
122,2023-09-06 16:41:43.519793,Architecture,Submitted,35,0.9627611039259405,Industry,0.6075781613497419
123,2024-01-30 16:41:43.519795,Applied Arts and Crafts,Rejected,65,0.5341670524228022,Administration,0.8943671814207955
124,2024-07-27 16:41:43.519796,Applied Arts and Crafts,Rejected,55,0.7151873748453966,Research,0.6833598294473326
125,2024-01-17 16:41:43.519798,Management,Submitted,45,0.8478987388277224,Academic,0.653171217083193
126,2024-05-22 16:41:43.519799,Engineering,Submitted,79,0.7290111058341293,Industry,0.8553955139196542
127,2024-04-22 16:41:43.519801,Architecture,Document Verification,90,0.5460476266164511,Academic,0.7278972781630779
128,2023-12-18 16:41:43.519802,Management,Under Evaluation,85,0.7766895080633537,Administration,0.6228468653481772
129,2024-08-26 16:41:43.519804,Engineering,Rejected,62,0.8208159544136773,Academic,0.6550518937593445
130,2024-01-26 16:41:43.519806,Pharmacy,Document Verification,49,0.8518961554952538,Research,0.6003717667479844
131,2023-12-20 16:41:43.519807,Applied Arts and Crafts,Under Evaluation,95,0.6866299072313795,Research,0.9612894509378829
132,2023-09-07 16:41:43.519809,Engineering,Document Verification,25,0.7818299855143811,Administration,0.6098471935364954
133,2023-11-22 16:41:43.519811,Pharmacy,Rejected,23,0.7253432374694566,Academic,0.6837823078038044
