date,subdivision,certificate_type,processing_time,status
2024-08-30 12:58:45.713654,West,Caste,9,Issued
2024-08-23 12:58:45.714311,Central,Caste,22,Rejected
2024-08-20 12:58:45.714351,North,Marriage,16,Issued
2024-08-20 12:58:45.714386,North,Income,27,Rejected
2024-08-12 12:58:45.714424,North,Death,10,Issued
2024-08-25 12:58:45.714454,East,Caste,15,Pending
2024-08-13 12:58:45.714482,West,Birth,7,Pending
2024-08-17 12:58:45.714511,North,Marriage,14,Issued
2024-08-15 12:58:45.714541,West,Marriage,16,Issued
2024-08-08 12:58:45.714573,South,Caste,27,Pending
2024-08-19 12:58:45.714651,North,Income,12,Rejected
2024-08-11 12:58:45.714800,East,Income,16,Pending
2024-08-03 12:58:45.714874,West,Marriage,22,Issued
2024-08-08 12:58:45.714934,East,Death,16,Pending
2024-08-07 12:58:45.714988,Central,Caste,19,Pending
2024-08-04 12:58:45.715041,East,Birth,2,Pending
2024-08-10 12:58:45.715094,East,Caste,23,Issued
2024-08-06 12:58:45.715146,North,Marriage,16,Issued
2024-08-17 12:58:45.715196,East,Death,26,Issued
2024-08-12 12:58:45.715247,West,Caste,5,Issued
2024-08-23 12:58:45.715303,East,Caste,16,Rejected
2024-08-21 12:58:45.715355,Central,Domicile,28,Rejected
2024-08-06 12:58:45.715403,Central,Marriage,20,Issued
2024-08-02 12:58:45.715453,North,Marriage,27,Pending
2024-08-11 12:58:45.715502,West,Income,13,Rejected
2024-08-09 12:58:45.715551,South,Caste,15,Rejected
2024-08-05 12:58:45.715599,East,Birth,23,Issued
2024-08-16 12:58:45.715645,West,Death,8,Issued
2024-08-16 12:58:45.715693,West,Income,28,Pending
2024-08-24 12:58:45.715741,West,Domicile,9,Issued
2024-08-20 12:58:45.715789,Central,Caste,23,Issued
2024-08-12 12:58:45.715840,South,Marriage,23,Issued
2024-08-12 12:58:45.715888,Central,Income,9,Rejected
2024-08-24 12:58:45.715936,West,Birth,19,Pending
2024-08-03 12:58:45.715984,South,Domicile,23,Issued
2024-08-01 12:58:45.716032,North,Birth,22,Issued
2024-08-30 12:58:45.716079,South,Birth,18,Issued
2024-08-15 12:58:45.716127,Central,Domicile,1,Issued
2024-08-17 12:58:45.716174,West,Marriage,4,Issued
2024-08-26 12:58:45.716221,East,Birth,24,Rejected
2024-08-22 12:58:45.716269,North,Domicile,5,Pending
2024-08-26 12:58:45.716317,Central,Marriage,11,Issued
2024-08-27 12:58:45.716364,West,Income,10,Pending
2024-08-02 12:58:45.716411,Central,Caste,7,Rejected
2024-08-17 12:58:45.716468,West,Income,17,Issued
2024-08-11 12:58:45.716515,North,Death,23,Rejected
2024-08-06 12:58:45.716563,West,Death,22,Pending
2024-08-07 12:58:45.716610,East,Death,23,Issued
2024-08-17 12:58:45.716662,West,Income,5,Issued
2024-08-16 12:58:45.716709,West,Death,25,Issued
2024-08-27 12:58:45.716756,Central,Death,12,Issued
2024-08-09 12:58:45.716803,West,Death,9,Issued
2024-08-01 12:58:45.716850,South,Domicile,16,Issued
2024-08-24 12:58:45.716899,East,Domicile,28,Rejected
2024-08-08 12:58:45.716948,East,Marriage,27,Pending
2024-08-08 12:58:45.716996,Central,Birth,20,Pending
2024-08-30 12:58:45.717044,South,Income,13,Issued
2024-08-04 12:58:45.717091,South,Domicile,14,Rejected
2024-08-12 12:58:45.717139,West,Birth,15,Issued
2024-08-29 12:58:45.717186,South,Caste,3,Issued
2024-08-12 12:58:45.717234,West,Caste,9,Pending
2024-08-20 12:58:45.717281,East,Domicile,6,Issued
2024-08-06 12:58:45.717328,East,Birth,18,Pending
2024-08-05 12:58:45.717375,North,Death,16,Issued
2024-08-06 12:58:45.717422,Central,Caste,18,Pending
2024-08-16 12:58:45.717469,South,Marriage,3,Issued
2024-08-01 12:58:45.717518,South,Death,4,Issued
2024-08-22 12:58:45.717565,East,Domicile,19,Pending
2024-08-20 12:58:45.717613,North,Birth,22,Issued
2024-08-19 12:58:45.717663,Central,Income,10,Issued
2024-08-08 12:58:45.717712,East,Death,25,Issued
2024-08-22 12:58:45.717761,West,Death,10,Issued
2024-08-23 12:58:45.717809,North,Domicile,28,Issued
2024-08-15 12:58:45.717858,East,Birth,14,Issued
