crop,disease,temperature,humidity,rainfall,soil_moisture,date
Potato,Powdery Mildew,18.668695797323277,76.78146001636615,29.84250789732435,46.74996517121547,2024-01-29 14:34:27.322889
Maize,Blight,32.32352291549871,66.06690070459253,35.40362888980228,21.23506965774815,2023-12-17 14:34:27.322926
Potato,Rust,18.636499344142013,41.00427059120603,15.212112147976885,51.48538589793427,2024-01-08 14:34:27.322950
Wheat,Healthy,25.495493205167783,53.991658302915326,2.3332831606807716,78.42533113048755,2023-12-04 14:34:27.322976
Maize,Leaf Spot,25.284688768272233,65.54487413172255,2.3225206359998865,56.4526911140863,2024-08-10 14:34:27.322996
Wheat,Rust,33.977710745066666,87.93792198447356,40.419867405823055,38.27682615040224,2024-07-09 14:34:27.323018
Rice,Leaf Spot,19.820509320520234,70.9958111295275,30.499832889131046,69.99169470416986,2024-07-27 14:34:27.323038
Wheat,Leaf Spot,18.644721755761246,75.32168461905914,21.257793724562234,32.47649977209133,2023-12-15 14:34:27.323058
Tomato,Rust,30.50265646722229,86.36993649385134,44.74136752138244,55.87399872866511,2023-11-01 14:34:27.323078
Potato,Healthy,34.22344048698698,80.67203092068908,37.366005506869044,52.381527943344786,2023-11-25 14:34:27.323097
Rice,Healthy,20.618690193747614,62.56176498949491,7.046211248738132,68.13181884524238,2024-06-27 14:34:27.323115
Wheat,Healthy,30.444895385933147,41.92294089205034,0.27610585618011996,68.92768570729005,2024-06-11 14:34:27.323133
Maize,Blight,30.425406933718914,34.442679104045425,17.92328642721363,26.952143571507783,2024-04-18 14:34:27.323152
Wheat,Leaf Spot,21.617960497052984,33.81350101716142,15.54911608578311,39.51099932160482,2024-05-24 14:34:27.323169
Potato,Blight,26.22486851695402,52.97561248522739,48.58560476945519,70.93482945596503,2024-08-26 14:34:27.323187
Rice,Blight,25.45465658763988,55.652461101512976,1.2709563372047594,26.473485619598268,2024-06-29 14:34:27.323206
Wheat,Leaf Spot,26.265511439527675,71.73096518556765,6.966572720293785,56.26504275666903,2024-04-10 14:34:27.323224
Maize,Powdery Mildew,19.57596330983245,34.61879458972758,14.4875726456884,29.673277235240263,2024-06-26 14:34:27.323243
Rice,Powdery Mildew,20.91267371675428,36.329655589816234,22.826728524145512,33.10642623301001,2023-09-26 14:34:27.323261
Maize,Rust,17.441759094013467,51.377870284618496,45.3414220772877,36.32793496307812,2023-11-22 14:34:27.323279
