institution_id,inspection_date,institution_type,status,infrastructure_score,faculty_score,student_performance_score,compliance_level,overall_score
1,2024-05-20 16:47:46.632198,Pharmacy,Completed,0.9278686294528932,0.6641850457084906,0.71912305990301,Fully Compliant,0.7911187244012932
2,2023-09-17 16:47:46.632248,Pharmacy,Completed,0.6135897785117574,0.6281967782572578,0.9241711172423293,Partially Compliant,0.6499371342220325
3,2023-12-04 16:47:46.632252,Engineering,Completed,0.9185205626214701,0.6742586819604972,0.9973413402944127,Fully Compliant,0.5172016042267291
4,2024-05-16 16:47:46.632254,Management,Completed,0.6396380442272052,0.8656877539955873,0.749628669606809,Fully Compliant,0.8174648650588718
5,2024-06-20 16:47:46.632255,Management,Completed,0.8214409550293538,0.9526762447374032,0.887484292626503,Fully Compliant,0.9294661746623638
6,2024-02-24 16:47:46.632257,Applied Arts and Crafts,Scheduled,0.8470752867549155,0.9256502742364647,0.5961646146020052,Fully Compliant,0.6723848834499371
7,2024-08-10 16:47:46.632259,Management,In Progress,0.7563273765725265,0.8740537239497936,0.5834463744683747,Partially Compliant,0.6951477736063852
8,2024-05-20 16:47:46.632261,Architecture,In Progress,0.6526553383483656,0.644172745364441,0.6416222325967361,Partially Compliant,0.9455108414836058
9,2024-05-01 16:47:46.632263,Management,Scheduled,0.6063221881855481,0.7156749785183799,0.8035043576041895,Non-Compliant,0.906804406683678
10,2024-01-29 16:47:46.632265,Applied Arts and Crafts,Scheduled,0.5165946772812131,0.7239227501289875,0.8093150135530592,Fully Compliant,0.8574764117758886
11,2023-10-05 16:47:46.632267,Management,In Progress,0.6519732006203619,0.6999827785590484,0.5891436607896705,Partially Compliant,0.6243985318765739
12,2024-06-04 16:47:46.632269,Architecture,In Progress,0.8265813952656416,0.8060022638838893,0.4799259544819772,Partially Compliant,0.9551083274833223
13,2024-05-23 16:47:46.632271,Engineering,In Progress,0.9691524092242414,0.814221525951869,0.7794377538793051,Partially Compliant,0.5772078787696064
14,2023-09-06 16:47:46.632272,Applied Arts and Crafts,In Progress,0.935602241131526,0.742754390068444,0.47699551731325873,Fully Compliant,0.8133852597086109
15,2024-04-01 16:47:46.632274,Engineering,In Progress,0.8830323882676513,0.7415156634945744,0.747095504937598,Non-Compliant,0.5144005902732594
16,2024-04-22 16:47:46.632276,Engineering,Completed,0.8942236716266494,0.9314222391624325,0.8160532768337854,Partially Compliant,0.8218599031624729
17,2024-04-03 16:47:46.632277,Engineering,Scheduled,0.8324924517379977,0.9157171393278742,0.8203668978366709,Fully Compliant,0.6385721759366799
18,2023-10-27 16:47:46.632279,Pharmacy,Completed,0.6301434287830014,0.7231183326722982,0.852083266395758,Partially Compliant,0.72483848859186
19,2023-12-17 16:47:46.632280,Pharmacy,In Progress,0.9535975153529149,0.9655153775493037,0.9237156529393987,Partially Compliant,0.6726322760285266
20,2023-09-22 16:47:46.632282,Engineering,In Progress,0.8353661559529171,0.9811260068010024,0.6999753951788731,Non-Compliant,0.5863783781231049
21,2023-11-11 16:47:46.632284,Applied Arts and Crafts,In Progress,0.78022031549022,0.7306970168120163,0.8381495137177427,Partially Compliant,0.810990395046937
22,2024-02-21 16:47:46.632285,Architecture,Completed,0.5554947346067405,0.7417699795172219,0.771503641219502,Partially Compliant,0.9409877775703037
23,2023-11-28 16:47:46.632287,Architecture,Completed,0.7235277719032127,0.8022536613687835,0.5119839638786096,Fully Compliant,0.9795421211412016
24,2024-03-23 16:47:46.632289,Management,In Progress,0.7301791356009631,0.9764483250134695,0.41541378692164493,Fully Compliant,0.5961731815769575
25,2023-10-22 16:47:46.632290,Applied Arts and Crafts,Completed,0.932281804761335,0.9505277732569246,0.5707248314061603,Non-Compliant,0.8586863870314867
26,2024-08-09 16:47:46.632292,Pharmacy,Completed,0.7733241100938942,0.6410271850334359,0.6658202238025717,Fully Compliant,0.8321696833028411
27,2023-12-22 16:47:46.632294,Engineering,In Progress,0.6902002744852048,0.7570922973085664,0.7702635666571938,Fully Compliant,0.6716888947872863
28,2024-01-08 16:47:46.632295,Management,Completed,0.9884001642553297,0.8213484758999088,0.9099755983019232,Non-Compliant,0.5095495996768629
29,2023-09-21 16:47:46.632297,Architecture,Scheduled,0.5553602966631579,0.801252989020616,0.5177474300236994,Partially Compliant,0.8448956236564331
30,2024-07-13 16:47:46.632299,Pharmacy,Scheduled,0.7112742141559723,0.6775452271747571,0.47532987393908627,Non-Compliant,0.9727474302797501
31,2024-07-03 16:47:46.632300,Pharmacy,Scheduled,0.5210123375857026,0.9435267084672618,0.9780879684845966,Fully Compliant,0.8160600609578257
32,2024-03-14 16:47:46.632302,Engineering,Scheduled,0.8699520603834652,0.8707763131987349,0.4648267356258443,Non-Compliant,0.717646362093817
33,2024-02-25 16:47:46.632303,Architecture,In Progress,0.9590382760995753,0.9351633499407215,0.6870946420643135,Partially Compliant,0.7625769470558141
34,2023-12-04 16:47:46.632305,Applied Arts and Crafts,In Progress,0.6400186647752447,0.9435057117397889,0.7513382372759811,Non-Compliant,0.5998144038299588
35,2024-02-23 16:47:46.632307,Pharmacy,In Progress,0.9291708383995605,0.8993423414662959,0.7248246525444629,Fully Compliant,0.8752720818768688
36,2024-03-09 16:47:46.632308,Engineering,Scheduled,0.6461091152309488,0.7756842404998869,0.45161929421976593,Fully Compliant,0.8732099150049245
37,2024-07-11 16:47:46.632310,Applied Arts and Crafts,Scheduled,0.9553850808219576,0.8442187020061698,0.43421614840217165,Non-Compliant,0.5727586501937125
38,2023-09-02 16:47:46.632312,Architecture,Completed,0.876980951798392,0.6641461624478973,0.4632900564766214,Partially Compliant,0.9389891912498296
39,2024-07-07 16:47:46.632313,Pharmacy,Completed,0.9024533884207193,0.869458166989963,0.7513526103235675,Non-Compliant,0.6345948697366526
40,2023-12-31 16:47:46.632315,Applied Arts and Crafts,Scheduled,0.5090032778002272,0.6717013022957122,0.7266069325805926,Partially Compliant,0.9911280304683074
41,2023-10-16 16:47:46.632316,Applied Arts and Crafts,Scheduled,0.981405178537013,0.8775798362040628,0.5402444752220465,Partially Compliant,0.6914515070186229
42,2024-04-22 16:47:46.632318,Applied Arts and Crafts,Scheduled,0.8633354960351616,0.6918392643015875,0.782664485107355,Non-Compliant,0.5889420293672498
43,2023-10-29 16:47:46.632320,Pharmacy,Scheduled,0.6523755476930666,0.6470205200600879,0.8920405012333896,Partially Compliant,0.6758600556728261
44,2024-04-18 16:47:46.632321,Pharmacy,Completed,0.9146973324294234,0.6661137960571829,0.4249473759079563,Fully Compliant,0.7200901643485966
45,2024-08-10 16:47:46.632323,Management,Scheduled,0.640760599207465,0.6007968540876281,0.6988779661288255,Non-Compliant,0.5346538865191475
46,2023-10-07 16:47:46.632325,Architecture,Completed,0.936376919783064,0.887495847141412,0.8135862472616142,Partially Compliant,0.7891091906116448
47,2024-03-17 16:47:46.632326,Engineering,Scheduled,0.5562901952059685,0.8929604196233516,0.5513871562418122,Fully Compliant,0.7988162199344502
48,2023-12-01 16:47:46.632328,Applied Arts and Crafts,Scheduled,0.8518429887303979,0.8059733399653037,0.5846625431758895,Non-Compliant,0.8694652276747361
49,2024-06-03 16:47:46.632329,Management,Scheduled,0.7703492383224552,0.6645451204221534,0.7681827417936303,Fully Compliant,0.5145849461453716
50,2023-10-20 16:47:46.632331,Engineering,Completed,0.5482672350977205,0.6334217350042759,0.9387611760662421,Fully Compliant,0.7706191072169151
51,2024-08-17 16:47:46.632332,Management,Completed,0.6209469141294195,0.6076515865749148,0.8859546521817396,Fully Compliant,0.5264537166353322
52,2024-01-02 16:47:46.632334,Pharmacy,In Progress,0.5062020181386574,0.6662992707860883,0.7498781314597501,Partially Compliant,0.8505721099833268
53,2023-12-10 16:47:46.632335,Applied Arts and Crafts,Scheduled,0.7343839827322529,0.9563422139932587,0.8381330306543495,Non-Compliant,0.5278639928504922
54,2023-09-20 16:47:46.632337,Engineering,In Progress,0.6506326303800002,0.6966147366806726,0.6188934821246792,Non-Compliant,0.9558639241708163
55,2024-07-09 16:47:46.632339,Engineering,In Progress,0.7991787421488794,0.7417085308868863,0.7845793168592546,Partially Compliant,0.8510412834422483
56,2023-09-26 16:47:46.632340,Engineering,Completed,0.6486189038543086,0.6421381937925332,0.6797089546765342,Non-Compliant,0.7536948825425785
57,2024-05-31 16:47:46.632342,Engineering,Completed,0.6499595557534923,0.6889445218992681,0.5139616818745366,Fully Compliant,0.7207519616405875
58,2023-12-11 16:47:46.632344,Engineering,In Progress,0.8715965993658017,0.807689828312082,0.8210429643263543,Non-Compliant,0.5653363152066312
